date,time,srcIP,distIP,port,flow
2016-4-1,11:23:21,202.120.138.193,202.120.236.175,80,5981
2016-4-1,11:23:21,202.120.138.193,202.120.236.175,80,428
2016-4-1,11:23:21,202.120.138.193,202.120.236.175,80,256
2016-4-1,11:23:21,202.120.138.193,202.120.236.175,80,1121
2016-4-1,11:23:21,202.120.140.100,202.120.236.172,80,1153
2016-4-1,11:23:24,202.120.124.230,202.120.234.198,80,30464
2016-4-1,11:23:25,202.120.138.191,202.120.236.176,80,284
2016-4-1,11:23:25,202.120.138.191,202.120.236.176,80,226
2016-4-1,11:23:28,202.120.248.199,202.120.236.13,80,35104
2016-4-1,11:23:30,202.120.138.193,202.120.236.175,80,2373
2016-4-1,11:23:30,202.120.138.193,202.120.236.175,80,226
2016-4-1,11:23:30,202.120.138.193,202.120.236.175,80,284
2016-4-1,11:23:31,202.120.248.199,202.120.236.13,80,67372
2016-4-1,11:23:33,202.120.138.193,202.120.236.176,80,1558
2016-4-1,11:23:36,202.120.140.75,202.120.160.157,80,4407
2016-4-1,11:23:36,202.120.140.75,202.120.160.157,80,4627
2016-4-1,11:23:49,202.120.249.125,202.120.240.1,80,1193
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,5210
2016-4-1,11:23:49,202.120.249.227,202.120.240.19,80,4819
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,5014
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,2502
2016-4-1,11:23:49,202.120.249.125,202.120.240.1,80,1203
2016-4-1,11:23:49,202.120.249.125,202.120.240.1,80,222
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,614
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,428
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,222
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,2369
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,1061
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,256
2016-4-1,11:23:49,202.120.249.125,202.120.240.17,80,1825
2016-4-1,11:23:49,202.120.249.125,202.120.240.9,80,1632
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,1154
2016-4-1,11:23:49,202.120.249.125,202.120.240.9,80,276
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,1001
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,614
2016-4-1,11:23:49,202.120.249.227,202.120.240.17,80,276
2016-4-1,11:23:49,202.120.249.227,202.120.240.1,80,428
2016-4-1,11:23:49,202.120.249.227,202.120.240.17,80,1632
2016-4-1,11:23:55,202.120.220.59,202.120.112.246,80,4763
2016-4-1,11:23:55,202.120.220.59,202.120.112.246,80,316
2016-4-1,11:23:55,202.120.216.33,202.120.112.246,80,2027
2016-4-1,11:23:55,202.120.216.101,202.120.112.246,80,2027
2016-4-1,11:23:55,202.120.216.56,202.120.218.221,80,2019
2016-4-1,11:23:55,202.120.220.49,202.120.112.246,80,1799
2016-4-1,11:23:55,202.120.216.75,202.120.112.246,80,2027
2016-4-1,11:23:57,202.120.220.49,202.120.218.221,80,4749
2016-4-1,11:23:57,202.120.220.44,202.120.112.246,80,292
2016-4-1,11:23:57,202.120.220.229,202.120.216.221,80,3322
2016-4-1,11:23:57,202.120.220.35,202.120.16.37,80,692
2016-4-1,11:23:57,202.120.216.230,202.120.0.22,80,744
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,2999
2016-4-1,11:23:57,202.120.220.42,202.120.112.246,80,3255
2016-4-1,11:23:57,202.120.220.32,202.120.112.30,80,992
2016-4-1,11:23:57,202.120.220.32,202.120.112.30,80,292
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,2999
2016-4-1,11:23:57,202.120.220.49,202.120.216.221,80,292
2016-4-1,11:23:57,202.120.220.42,202.120.112.246,80,395
2016-4-1,11:23:57,202.120.220.49,202.120.218.221,80,2899
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,241
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,241
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,241
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,241
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,2999
2016-4-1,11:23:57,202.120.220.49,202.120.216.221,80,625
2016-4-1,11:23:57,202.120.220.16,202.120.112.246,80,2027
2016-4-1,11:23:57,202.120.220.221,202.120.218.221,80,2999
2016-4-1,11:23:57,202.120.220.135,202.120.216.221,80,292
2016-4-1,11:23:57,202.120.128.21,202.120.157.225,80,1917
2016-4-1,11:23:57,202.120.220.135,202.120.216.221,80,292
2016-4-1,11:23:57,202.120.220.16,202.120.112.246,80,3329
2016-4-1,11:23:59,202.120.124.230,202.120.236.176,80,147924
2016-4-1,11:24:01,202.120.140.228,202.120.165.198,80,4720
2016-4-1,11:24:02,202.120.140.74,202.120.163.104,80,4627
2016-4-1,11:24:02,202.120.140.74,202.120.163.104,80,4489
2016-4-1,11:24:02,202.120.140.100,202.120.234.198,80,390
2016-4-1,11:24:02,202.120.140.100,202.120.234.198,80,276
2016-4-1,11:24:03,202.120.140.228,202.120.165.198,80,21552
2016-4-1,11:24:05,202.120.141.125,202.120.235.203,80,5483
2016-4-1,11:24:08,202.120.140.228,202.120.160.246,80,240119
2016-4-1,11:24:12,202.120.0.190,202.120.236.176,80,21042
2016-4-1,11:24:13,202.120.0.190,202.120.236.176,80,22414
2016-4-1,11:24:16,202.120.138.191,202.120.236.174,80,3414
2016-4-1,11:24:18,202.120.216.230,202.120.0.22,80,744
2016-4-1,11:24:18,202.120.220.136,202.120.112.246,80,2027
2016-4-1,11:24:18,202.120.220.52,202.120.112.246,80,2027
2016-4-1,11:24:18,202.120.216.65,202.120.216.221,80,2913
2016-4-1,11:24:18,202.120.216.81,202.120.216.247,80,3035
2016-4-1,11:24:18,202.120.220.221,202.120.112.79,80,1690
