date,time,srcIP,distIP,port,flow
2016-4-1,0:46:32,202.120.0.8,202.120.0.11,80,1564
2016-4-1,0:46:50,202.120.8.18,202.120.8.17,80,309379
2016-4-1,0:46:54,202.120.0.37,202.120.0.42,80,2156
2016-4-1,0:46:54,202.120.0.37,202.120.0.42,80,492
2016-4-1,0:46:55,202.120.0.37,202.120.0.38,80,3290
2016-4-1,0:47:01,202.120.0.15,202.120.6.27,80,74906
2016-4-1,0:47:01,202.120.1.32,202.120.0.9,80,4690
2016-4-1,0:47:01,202.120.1.32,202.120.0.9,80,2830
2016-4-1,0:47:08,202.120.8.20,202.120.1.30,80,269591
2016-4-1,0:47:08,202.120.0.6,202.120.0.7,80,777604
2016-4-1,0:47:08,202.120.2.13,202.120.1.30,80,1524
2016-4-1,0:47:08,202.120.1.27,202.120.1.28,80,189
2016-4-1,0:47:11,202.120.0.30,202.120.5.40,80,1286
2016-4-1,0:47:11,202.120.0.30,202.120.0.35,80,317
2016-4-1,0:47:11,202.120.0.8,202.120.0.31,80,3072
2016-4-1,0:47:11,202.120.0.30,202.120.0.35,80,479
2016-4-1,0:47:11,202.120.4.40,202.120.0.11,80,1767
2016-4-1,0:47:11,202.120.1.35,202.120.0.3,80,201
2016-4-1,0:47:11,202.120.1.35,202.120.0.20,80,201
2016-4-1,0:47:11,202.120.4.40,202.120.0.11,80,292
2016-4-1,0:47:11,202.120.4.40,202.120.0.11,80,2474
2016-4-1,0:47:11,202.120.0.8,202.120.0.29,80,3132
2016-4-1,0:47:11,202.120.0.8,202.120.2.25,80,3611
2016-4-1,0:47:11,202.120.0.12,202.120.1.2,80,4755
2016-4-1,0:47:11,202.120.0.8,202.120.2.25,80,3144
2016-4-1,0:47:11,202.120.4.40,202.120.0.11,80,3544
2016-4-1,0:47:11,202.120.2.24,202.120.2.25,80,3514
2016-4-1,0:47:11,202.120.0.8,202.120.0.29,80,3591
2016-4-1,0:47:11,202.120.4.40,202.120.0.9,80,180
2016-4-1,0:47:11,202.120.0.30,202.120.5.40,80,1788
2016-4-1,0:47:11,202.120.4.40,202.120.0.9,80,160
2016-4-1,0:47:11,202.120.0.8,202.120.4.18,80,3066
2016-4-1,0:47:11,202.120.0.12,202.120.1.2,80,2789
2016-4-1,0:47:11,202.120.0.8,202.120.0.35,80,3699
2016-4-1,0:47:11,202.120.0.8,202.120.0.20,80,3131
2016-4-1,0:47:11,202.120.0.8,202.120.0.20,80,3669
2016-4-1,0:47:11,202.120.0.8,202.120.4.18,80,404
2016-4-1,0:47:11,202.120.0.8,202.120.4.18,80,3587
2016-4-1,0:47:11,202.120.0.8,202.120.0.20,80,404
2016-4-1,0:47:11,202.120.0.8,202.120.4.18,80,1655
2016-4-1,0:47:11,202.120.4.40,202.120.0.9,80,16574
2016-4-1,0:47:11,202.120.0.8,202.120.0.20,80,1887
2016-4-1,0:47:11,202.120.0.8,202.120.0.35,80,1897
2016-4-1,0:47:11,202.120.2.1,202.120.0.11,80,11213
2016-4-1,0:47:11,202.120.0.8,202.120.0.3,80,1332
2016-4-1,0:47:11,202.120.1.35,202.120.0.20,80,241
2016-4-1,0:47:11,202.120.4.40,202.120.0.9,80,2061
2016-4-1,0:47:11,202.120.1.35,202.120.0.3,80,241
2016-4-1,0:47:11,202.120.2.33,202.120.1.2,80,594
2016-4-1,0:47:11,202.120.0.8,202.120.2.25,80,404
2016-4-1,0:47:11,202.120.2.1,202.120.0.11,80,1507
2016-4-1,0:47:11,202.120.0.8,202.120.0.29,80,404
2016-4-1,0:47:11,202.120.0.8,202.120.2.25,80,1911
2016-4-1,0:47:11,202.120.0.8,202.120.0.29,80,1891
2016-4-1,0:47:11,202.120.1.32,202.120.0.11,80,1853
2016-4-1,0:47:11,202.120.0.8,202.120.0.3,80,3153
2016-4-1,0:47:11,202.120.1.32,202.120.0.11,80,2911
2016-4-1,0:47:11,202.120.2.33,202.120.0.20,80,292
2016-4-1,0:47:12,202.120.0.12,202.120.0.11,80,1645
